011vip.com.br			    02globalpromotion.com.br
041cafecuritibano.com.br	    048vip.com.br
049vip.com.br			    051vip.com.br
0800construcao.com.br		    0800digital.com.br
0800encontro.com.br		    0800lingerie.com.br
0800sucesso.com.br		    0800voip.com.br
0800web.com.br			    0800webphone.com.br
081vip.com.br			    08bbb.com.br
0a6.com.br			    0jogo.com.br
0kut.com.br			    0x.com.br
0xxvip.com.br			    1000bits.com.br
1000calcinha.com.br		    1000calcinhas.com.br
1000carros.com.br		    1000coisas.inf.br
1000compras.com.br		    1000door.com.br
1000gatas.com.br		    1000grau.com.br
1000ideiasshop.com.br		    1000midias.com.br
1000pes.com.br			    1000shop.com.br
1000sites.com.br		    1000tonsoft.com.br
1000variedades.com.br		    1000variedes.com.br
1001artigos.com.br		    1001imagens.com.br
1001starsites.com.br		    1003paola.com.br
100anososcarniemeyer.com.br	    100asas.com.br
100atrito.com.br		    100black.com.br
100clean.com.br			    100dvdlocadora.com.br
100escolha.com.br		    100estress.com.br
100fronteiras.com.br		    100gospel.com.br
100imagens.com.br		    100jogo.com.br
100juros.com.br			    100limit.com.br
100limiteseventos.com.br	    100link.com.br
100misterio.com.br		    100pontofixoeventos.com.br
100porcentodvd.com.br		    100porcentogames.com.br
100porcentomusica.com.br	    100porcentoreciclado.com.br
100porcentovideo.com.br		    100rumotrilhasjau.com.br
100sono.com.br			    100vergonha.com.br
100videonet.com.br		    100web.com.br
1013fm.com.br			    101competicoes.com.br
101evento.com.br		    101games.com.br
101sentidos.com.br		    101veiculos.com.br
102br.com.br			    102brasil.com.br
102company.com.br		    102plus.com.br
102sp.com.br			    106melodiafm.com.br
10ben.com.br			    10br.com.br
10conto.com.br			    10gay.com.br
10kpnr.com.br			    10musica.com.br
10segundos.com.br		    10web.com.br
11agostomaringa.adv.br		    123digital.com.br
123ejarecreacao.com.br		    123escola.com.br
123filmes.com.br		    123jogos.com.br
123livros.com.br		    123mudancainternacional.com.br
123mudar.com.br			    123musicas.com.br
123onetotree.org.br		    123praias.com.br
